,ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements,latitude,longitude
0,IRL,Ireland,2011,01-01-11,,Weather related,Flood,77.0,52.865196,-7.9794599
1,IRL,Ireland,2015,04-12-15,Storm Desmond and Frank,Weather related,Storm,1623.0,52.865196,-7.9794599
2,IRL,Ireland,2017,22-11-17,"United Kingdom and Ireland: Flash flooding- North-west England, Wales and Ireland- 22.11.2017",Weather related,Flood,57.0,52.865196,-7.9794599
3,IRL,Ireland,2017,22-08-17,United Kingdom and Ireland: Flash floods (22/08/2017),Weather related,Flood,5.0,52.865196,-7.9794599
4,IRN,"Iran, Islamic Rep.",2009,01-01-09,,Geophysical,Earthquake,,33.7680065,66.2385139
5,IRN,"Iran, Islamic Rep.",2010,01-01-10,,Geophysical,Earthquake,,33.7680065,66.2385139
6,IRN,"Iran, Islamic Rep.",2010,01-01-10,,Geophysical,Earthquake,3500.0,33.7680065,66.2385139
7,IRN,"Iran, Islamic Rep.",2010,01-01-10,,Geophysical,Earthquake,,33.7680065,66.2385139
8,IRN,"Iran, Islamic Rep.",2010,01-01-10,,Geophysical,Earthquake,,33.7680065,66.2385139
9,IRN,"Iran, Islamic Rep.",2010,01-01-10,,Geophysical,Earthquake,,33.7680065,66.2385139
10,IRN,"Iran, Islamic Rep.",2010,01-01-10,,Geophysical,Earthquake,,33.7680065,66.2385139
11,IRN,"Iran, Islamic Rep.",2012,01-01-12,,Geophysical,Earthquake,50000.0,33.7680065,66.2385139
12,IRN,"Iran, Islamic Rep.",2013,28-11-13,Bushehr September Earthquake,Geophysical,Earthquake,1520.0,33.7680065,66.2385139
13,IRN,"Iran, Islamic Rep.",2013,09-04-13,Bushehr April Earthquake,Geophysical,Earthquake,1000.0,33.7680065,66.2385139
14,IRN,"Iran, Islamic Rep.",2013,01-08-13,,Weather related,Flood,2200.0,33.7680065,66.2385139
15,IRN,"Iran, Islamic Rep.",2014,18-08-14,Mormori earthquake,Geophysical,Earthquake,12000.0,33.7680065,66.2385139
16,IRN,"Iran, Islamic Rep.",2015,29-10-15,"Flash floods in  Ilam, Lorestan and Kerman",Weather related,Flood,1400.0,33.7680065,66.2385139
17,IRN,"Iran, Islamic Rep.",2015,19-07-15,Flash floods in northern Iran,Weather related,Flood,800.0,33.7680065,66.2385139
18,IRN,"Iran, Islamic Rep.",2015,10-03-15,Floods in the South and South-east,Weather related,Flood,3150.0,33.7680065,66.2385139
19,IRN,"Iran, Islamic Rep.",2016,13-04-16,Flash floods in Western and South-western provinces,Weather related,Flood,57.0,33.7680065,66.2385139
20,IRN,"Iran, Islamic Rep.",2016,25-07-16,Floods in seven provinces,Weather related,Flood,21.0,33.7680065,66.2385139
21,IRN,Iran,2017,06-01-17,Iran: Earthquake - Fars - 06/07/2017,Geophysical,Earthquake,905.0,32.9407495,52.9471344
22,IRN,Iran,2017,12-11-17,Iraq; Iran: Earthquake - 12/11/2017,Geophysical,Earthquake,170000.0,32.9407495,52.9471344
23,IRN,Iran,2017,20-12-17,Iran: Earthquake - Teheran - 20/12/2017,Geophysical,Earthquake,2000.0,32.9407495,52.9471344
24,IRN,Iran,2017,27-01-17,Iran: Flood - Sistan-and-Baluchestan - 27/01/2017,Weather related,Flood,8061.0,32.9407495,52.9471344
25,IRN,Iran,2017,12-12-17,Iran: Earthquake - Kerman - 12/12/2017,Geophysical,Earthquake,1000.0,32.9407495,52.9471344
26,IRN,Iran,2017,21-12-17,Iran: Earthquake - Kerman - 21/12/2017,Geophysical,Earthquake,20065.0,32.9407495,52.9471344
27,IRN,Iran,2017,10-08-17,Iran: Flood - 5 provinces - 10/08/2017,Weather related,Flood,129.0,32.9407495,52.9471344
28,IRN,Iran,2017,13-05-17,Iran: Earthquake - North Khorasan - 13/05/2017,Geophysical,Earthquake,8000.0,32.9407495,52.9471344
29,IRN,Iran,2017,15-04-17,Iran: Flood - 6 provinces - 15/04/2017,Weather related,Flood,288.0,32.9407495,52.9471344
30,IRN,Iran,2017,17-02-17,Iran: Flood - Fars - 18/02/2017,Weather related,Flood,2380.0,32.9407495,52.9471344
31,IRN,Iran,2017,01-12-17,Iran: Earthquake - Kerman - 01/12/2017,Geophysical,Earthquake,1015.0,32.9407495,52.9471344
32,IRN,Iran,2017,13-07-17,"Iran: Flood - Sistan, Balouchestan - 13/07/2017",Weather related,Flood,92.0,32.9407495,52.9471344
33,IRN,Iran,2017,05-04-17,Iran: Earthquake - Khorasan-Razavi -05/04/2017,Geophysical,Earthquake,364.0,32.9407495,52.9471344
34,IRN,Iran,2017,31-01-17,Iran: Storms - 29 provinces - 31/01/2017,Weather related,Storm,10300.0,32.9407495,52.9471344
35,IRQ,Iraq,2008,09-10-08,,Weather related,Flood,600.0,33.0955793,44.1749775
